sku_id,date,units_sold
SKU101_ELECT,29-11-2025,15
SKU102_ELECT,01-10-2025,4
SKU102_ELECT,02-10-2025,7
SKU102_ELECT,03-10-2025,3
SKU102_ELECT,04-10-2025,6
SKU102_ELECT,05-10-2025,7
SKU102_ELECT,06-10-2025,1
SKU102_ELECT,07-10-2025,2
SKU102_ELECT,08-10-2025,3
SKU102_ELECT,09-10-2025,6
SKU102_ELECT,10-10-2025,7
SKU102_ELECT,11-10-2025,4
SKU102_ELECT,12-10-2025,7
SKU102_ELECT,13-10-2025,5
SKU102_ELECT,14-10-2025,1
SKU102_ELECT,15-10-2025,5
SKU102_ELECT,16-10-2025,2
SKU102_ELECT,17-10-2025,3
SKU102_ELECT,18-10-2025,2
SKU102_ELECT,19-10-2025,0
SKU102_ELECT,20-10-2025,6
SKU102_ELECT,21-10-2025,7
SKU102_ELECT,22-10-2025,3
SKU102_ELECT,23-10-2025,6
SKU102_ELECT,24-10-2025,7
SKU102_ELECT,25-10-2025,2
SKU102_ELECT,26-10-2025,6
SKU102_ELECT,27-10-2025,6
SKU102_ELECT,28-10-2025,6
SKU102_ELECT,29-10-2025,4
SKU102_ELECT,30-10-2025,7
SKU102_ELECT,31-10-2025,0
SKU102_ELECT,01-11-2025,5
SKU102_ELECT,02-11-2025,5
SKU102_ELECT,03-11-2025,2
SKU102_ELECT,04-11-2025,5
SKU102_ELECT,05-11-2025,6
SKU102_ELECT,06-11-2025,5
SKU102_ELECT,07-11-2025,6
SKU102_ELECT,08-11-2025,4
SKU102_ELECT,09-11-2025,6
SKU102_ELECT,10-11-2025,5
SKU102_ELECT,11-11-2025,0
SKU102_ELECT,12-11-2025,6
SKU102_ELECT,13-11-2025,7
SKU102_ELECT,14-11-2025,5
SKU102_ELECT,15-11-2025,1
SKU102_ELECT,16-11-2025,0
SKU102_ELECT,17-11-2025,7
SKU102_ELECT,18-11-2025,5
SKU102_ELECT,19-11-2025,6
SKU102_ELECT,20-11-2025,5
SKU102_ELECT,21-11-2025,5
SKU102_ELECT,22-11-2025,5
SKU102_ELECT,23-11-2025,6
SKU102_ELECT,24-11-2025,3
SKU102_ELECT,25-11-2025,7
SKU102_ELECT,26-11-2025,4
SKU102_ELECT,27-11-2025,5
SKU102_ELECT,28-11-2025,2
SKU102_ELECT,29-11-2025,1
SKU201_FASH,01-10-2025,15
SKU201_FASH,02-10-2025,10
SKU201_FASH,03-10-2025,13
SKU201_FASH,04-10-2025,10
SKU201_FASH,05-10-2025,18
SKU201_FASH,06-10-2025,12
SKU201_FASH,07-10-2025,19
SKU201_FASH,08-10-2025,19
SKU201_FASH,09-10-2025,7
SKU201_FASH,10-10-2025,8
SKU201_FASH,11-10-2025,16
SKU201_FASH,12-10-2025,10
SKU201_FASH,13-10-2025,9
SKU201_FASH,14-10-2025,15
SKU201_FASH,15-10-2025,11
SKU201_FASH,16-10-2025,10
SKU201_FASH,17-10-2025,14
SKU201_FASH,18-10-2025,10
SKU201_FASH,19-10-2025,10
SKU201_FASH,20-10-2025,15
SKU201_FASH,21-10-2025,12
SKU201_FASH,22-10-2025,15
SKU201_FASH,23-10-2025,18
SKU201_FASH,24-10-2025,10
SKU201_FASH,25-10-2025,10
SKU201_FASH,26-10-2025,10
SKU201_FASH,27-10-2025,5
SKU201_FASH,28-10-2025,12
SKU201_FASH,29-10-2025,18
SKU201_FASH,30-10-2025,8
SKU201_FASH,31-10-2025,16
SKU201_FASH,01-11-2025,5
SKU201_FASH,02-11-2025,13
SKU201_FASH,03-11-2025,17
SKU201_FASH,04-11-2025,5
SKU201_FASH,05-11-2025,15
SKU201_FASH,06-11-2025,14
SKU201_FASH,07-11-2025,19
SKU201_FASH,08-11-2025,17
SKU201_FASH,09-11-2025,7
SKU201_FASH,10-11-2025,13
SKU201_FASH,11-11-2025,20
SKU201_FASH,12-11-2025,20
SKU201_FASH,13-11-2025,6
SKU201_FASH,14-11-2025,13
SKU201_FASH,15-11-2025,20
SKU201_FASH,16-11-2025,11
SKU201_FASH,17-11-2025,15
SKU201_FASH,18-11-2025,18
SKU201_FASH,19-11-2025,9
SKU201_FASH,20-11-2025,5
SKU201_FASH,21-11-2025,10
SKU201_FASH,22-11-2025,16
SKU201_FASH,23-11-2025,19
SKU201_FASH,24-11-2025,18
SKU201_FASH,25-11-2025,20
SKU201_FASH,26-11-2025,19
SKU201_FASH,27-11-2025,20
SKU201_FASH,28-11-2025,9
SKU201_FASH,29-11-2025,9
SKU202_FASH,01-10-2025,0
SKU202_FASH,02-10-2025,7
SKU202_FASH,03-10-2025,7
SKU202_FASH,04-10-2025,5
SKU202_FASH,05-10-2025,5
SKU202_FASH,06-10-2025,0
SKU202_FASH,07-10-2025,3
SKU202_FASH,08-10-2025,5
SKU202_FASH,09-10-2025,1
SKU202_FASH,10-10-2025,4
SKU202_FASH,11-10-2025,2
SKU202_FASH,12-10-2025,3
SKU202_FASH,13-10-2025,6
SKU202_FASH,14-10-2025,7
SKU202_FASH,15-10-2025,1
SKU202_FASH,16-10-2025,7
SKU202_FASH,17-10-2025,0
SKU202_FASH,18-10-2025,5
SKU202_FASH,19-10-2025,3
SKU202_FASH,20-10-2025,2
SKU202_FASH,21-10-2025,7
SKU202_FASH,22-10-2025,5
SKU202_FASH,23-10-2025,0
SKU202_FASH,24-10-2025,7
SKU202_FASH,25-10-2025,6
SKU202_FASH,26-10-2025,3
SKU202_FASH,27-10-2025,6
SKU202_FASH,28-10-2025,7
SKU202_FASH,29-10-2025,2
SKU202_FASH,30-10-2025,5
SKU202_FASH,31-10-2025,3
SKU202_FASH,01-11-2025,6
SKU202_FASH,02-11-2025,5
SKU202_FASH,03-11-2025,1
SKU202_FASH,04-11-2025,3
SKU202_FASH,05-11-2025,2
SKU202_FASH,06-11-2025,5
SKU202_FASH,07-11-2025,3
SKU202_FASH,08-11-2025,7
SKU202_FASH,09-11-2025,7
SKU202_FASH,10-11-2025,3
SKU202_FASH,11-11-2025,4
SKU202_FASH,12-11-2025,5
SKU202_FASH,13-11-2025,4
SKU202_FASH,14-11-2025,2
SKU202_FASH,15-11-2025,0
SKU202_FASH,16-11-2025,3
SKU202_FASH,17-11-2025,0
SKU202_FASH,18-11-2025,0
SKU202_FASH,19-11-2025,4
SKU202_FASH,20-11-2025,0
SKU202_FASH,21-11-2025,1
SKU202_FASH,22-11-2025,3
SKU202_FASH,23-11-2025,3
SKU202_FASH,24-11-2025,0
SKU202_FASH,25-11-2025,3
SKU202_FASH,26-11-2025,1
SKU202_FASH,27-11-2025,5
SKU202_FASH,28-11-2025,1
SKU202_FASH,29-11-2025,0
SKU301_BEAU,01-10-2025,7
SKU301_BEAU,02-10-2025,12
SKU301_BEAU,03-10-2025,8
SKU301_BEAU,04-10-2025,13
SKU301_BEAU,05-10-2025,9
SKU301_BEAU,06-10-2025,9
SKU301_BEAU,07-10-2025,11
SKU301_BEAU,08-10-2025,16
SKU301_BEAU,09-10-2025,14
SKU301_BEAU,10-10-2025,19
SKU301_BEAU,11-10-2025,10
SKU301_BEAU,12-10-2025,8
SKU301_BEAU,13-10-2025,12
SKU301_BEAU,14-10-2025,17
SKU301_BEAU,15-10-2025,10
SKU301_BEAU,16-10-2025,16
SKU301_BEAU,17-10-2025,11
SKU301_BEAU,18-10-2025,8
SKU301_BEAU,19-10-2025,12
SKU301_BEAU,20-10-2025,5
SKU301_BEAU,21-10-2025,13
SKU301_BEAU,22-10-2025,6
SKU301_BEAU,23-10-2025,13
SKU301_BEAU,24-10-2025,7
SKU301_BEAU,25-10-2025,15
SKU301_BEAU,26-10-2025,11
SKU301_BEAU,27-10-2025,5
SKU301_BEAU,28-10-2025,6
SKU301_BEAU,29-10-2025,6
SKU301_BEAU,30-10-2025,10
SKU301_BEAU,31-10-2025,18
SKU301_BEAU,01-11-2025,14
SKU301_BEAU,02-11-2025,13
SKU301_BEAU,03-11-2025,11
SKU301_BEAU,04-11-2025,16
SKU301_BEAU,05-11-2025,5
SKU301_BEAU,06-11-2025,13
SKU301_BEAU,07-11-2025,12
SKU301_BEAU,08-11-2025,13
SKU301_BEAU,09-11-2025,15
SKU301_BEAU,10-11-2025,11
SKU301_BEAU,11-11-2025,8
SKU301_BEAU,12-11-2025,11
SKU301_BEAU,13-11-2025,6
SKU301_BEAU,14-11-2025,20
SKU301_BEAU,15-11-2025,17
SKU301_BEAU,16-11-2025,8
SKU301_BEAU,17-11-2025,16
SKU301_BEAU,18-11-2025,20
SKU301_BEAU,19-11-2025,13
SKU301_BEAU,20-11-2025,13
SKU301_BEAU,21-11-2025,12
SKU301_BEAU,22-11-2025,12
SKU301_BEAU,23-11-2025,16
SKU301_BEAU,24-11-2025,15
SKU301_BEAU,25-11-2025,19
SKU301_BEAU,26-11-2025,7
SKU301_BEAU,27-11-2025,9
SKU301_BEAU,28-11-2025,14
SKU301_BEAU,29-11-2025,7
SKU302_BEAU,01-10-2025,10
SKU302_BEAU,02-10-2025,17
SKU302_BEAU,03-10-2025,8
SKU302_BEAU,04-10-2025,12
SKU302_BEAU,05-10-2025,11
SKU302_BEAU,06-10-2025,7
SKU302_BEAU,07-10-2025,12
SKU302_BEAU,08-10-2025,8
SKU302_BEAU,09-10-2025,19
SKU302_BEAU,10-10-2025,11
SKU302_BEAU,11-10-2025,14
SKU302_BEAU,12-10-2025,19
SKU302_BEAU,13-10-2025,18
SKU302_BEAU,14-10-2025,11
SKU302_BEAU,15-10-2025,20
SKU302_BEAU,16-10-2025,10
SKU302_BEAU,17-10-2025,7
SKU302_BEAU,18-10-2025,13
SKU302_BEAU,19-10-2025,15
SKU302_BEAU,20-10-2025,7
SKU302_BEAU,21-10-2025,6
SKU302_BEAU,22-10-2025,16
SKU302_BEAU,23-10-2025,12
SKU302_BEAU,24-10-2025,9
SKU302_BEAU,25-10-2025,17
SKU302_BEAU,26-10-2025,8
SKU302_BEAU,27-10-2025,7
SKU302_BEAU,28-10-2025,10
SKU302_BEAU,29-10-2025,8
SKU302_BEAU,30-10-2025,15
SKU302_BEAU,31-10-2025,12
SKU302_BEAU,01-11-2025,6
SKU302_BEAU,02-11-2025,5
SKU302_BEAU,03-11-2025,7
SKU302_BEAU,04-11-2025,8
SKU302_BEAU,05-11-2025,9
SKU302_BEAU,06-11-2025,20
SKU302_BEAU,07-11-2025,18
SKU302_BEAU,08-11-2025,7
SKU302_BEAU,09-11-2025,20
SKU302_BEAU,10-11-2025,6
SKU302_BEAU,11-11-2025,8
SKU302_BEAU,12-11-2025,5
SKU302_BEAU,13-11-2025,10
SKU302_BEAU,14-11-2025,7
SKU302_BEAU,15-11-2025,9
SKU302_BEAU,16-11-2025,8
SKU302_BEAU,17-11-2025,12
SKU302_BEAU,18-11-2025,8
SKU302_BEAU,19-11-2025,15
SKU302_BEAU,20-11-2025,8
SKU302_BEAU,21-11-2025,16
SKU302_BEAU,22-11-2025,6
SKU302_BEAU,23-11-2025,8
SKU302_BEAU,24-11-2025,10
SKU302_BEAU,25-11-2025,19
SKU302_BEAU,26-11-2025,11
SKU302_BEAU,27-11-2025,16
SKU302_BEAU,28-11-2025,13
SKU302_BEAU,29-11-2025,14
SKU401_HOME,01-10-2025,4
SKU401_HOME,02-10-2025,4
SKU401_HOME,03-10-2025,5
SKU401_HOME,04-10-2025,3
SKU401_HOME,05-10-2025,3
SKU401_HOME,06-10-2025,3
SKU401_HOME,07-10-2025,5
SKU401_HOME,08-10-2025,3
SKU401_HOME,09-10-2025,6
SKU401_HOME,10-10-2025,0
SKU401_HOME,11-10-2025,5
SKU401_HOME,12-10-2025,1
SKU401_HOME,13-10-2025,2
SKU401_HOME,14-10-2025,6
SKU401_HOME,15-10-2025,3
SKU401_HOME,16-10-2025,2
SKU401_HOME,17-10-2025,5
SKU401_HOME,18-10-2025,4
SKU401_HOME,19-10-2025,1
SKU401_HOME,20-10-2025,5
SKU401_HOME,21-10-2025,5
SKU401_HOME,22-10-2025,7
SKU401_HOME,23-10-2025,1
SKU401_HOME,24-10-2025,0
SKU401_HOME,25-10-2025,1
SKU401_HOME,26-10-2025,0
SKU401_HOME,27-10-2025,3
SKU401_HOME,28-10-2025,0
SKU401_HOME,29-10-2025,2
SKU401_HOME,30-10-2025,5
SKU401_HOME,31-10-2025,7
SKU401_HOME,01-11-2025,2
SKU401_HOME,02-11-2025,5
SKU401_HOME,03-11-2025,7
SKU401_HOME,04-11-2025,5
SKU401_HOME,05-11-2025,5
SKU401_HOME,06-11-2025,6
SKU401_HOME,07-11-2025,4
SKU401_HOME,08-11-2025,7
SKU401_HOME,09-11-2025,2
SKU401_HOME,10-11-2025,2
SKU401_HOME,11-11-2025,2
SKU401_HOME,12-11-2025,3
SKU401_HOME,13-11-2025,7
SKU401_HOME,14-11-2025,2
SKU401_HOME,15-11-2025,0
SKU401_HOME,16-11-2025,5
SKU401_HOME,17-11-2025,7
SKU401_HOME,18-11-2025,7
SKU401_HOME,19-11-2025,4
SKU401_HOME,20-11-2025,4
SKU401_HOME,21-11-2025,0
SKU401_HOME,22-11-2025,7
SKU401_HOME,23-11-2025,3
SKU401_HOME,24-11-2025,4
SKU401_HOME,25-11-2025,3
SKU401_HOME,26-11-2025,0
SKU401_HOME,27-11-2025,0
SKU401_HOME,28-11-2025,2
SKU401_HOME,29-11-2025,5
SKU402_HOME,01-10-2025,1
SKU402_HOME,02-10-2025,3
SKU402_HOME,03-10-2025,7
SKU402_HOME,04-10-2025,7
SKU402_HOME,05-10-2025,7
SKU402_HOME,06-10-2025,7
SKU402_HOME,07-10-2025,0
SKU402_HOME,08-10-2025,3
SKU402_HOME,09-10-2025,4
SKU402_HOME,10-10-2025,7
SKU402_HOME,11-10-2025,3
SKU402_HOME,12-10-2025,5
SKU402_HOME,13-10-2025,1
SKU402_HOME,14-10-2025,0
SKU402_HOME,15-10-2025,5
SKU402_HOME,16-10-2025,0
SKU402_HOME,17-10-2025,4
SKU402_HOME,18-10-2025,6
SKU402_HOME,19-10-2025,0
SKU402_HOME,20-10-2025,1
SKU402_HOME,21-10-2025,2
SKU402_HOME,22-10-2025,5
SKU402_HOME,23-10-2025,0
SKU402_HOME,24-10-2025,4
SKU402_HOME,25-10-2025,5
SKU402_HOME,26-10-2025,0
SKU402_HOME,27-10-2025,3
SKU402_HOME,28-10-2025,6
SKU402_HOME,29-10-2025,3
SKU402_HOME,30-10-2025,4
SKU402_HOME,31-10-2025,3
SKU402_HOME,01-11-2025,2
SKU402_HOME,02-11-2025,4
SKU402_HOME,03-11-2025,0
SKU402_HOME,04-11-2025,5
SKU402_HOME,05-11-2025,5
SKU402_HOME,06-11-2025,2
SKU402_HOME,07-11-2025,4
SKU402_HOME,08-11-2025,4
SKU402_HOME,09-11-2025,7
SKU402_HOME,10-11-2025,5
SKU402_HOME,11-11-2025,3
SKU402_HOME,12-11-2025,6
SKU402_HOME,13-11-2025,1
SKU402_HOME,14-11-2025,5
SKU402_HOME,15-11-2025,7
SKU402_HOME,16-11-2025,5
SKU402_HOME,17-11-2025,0
SKU402_HOME,18-11-2025,0
SKU402_HOME,19-11-2025,7
SKU402_HOME,20-11-2025,6
SKU402_HOME,21-11-2025,5
SKU402_HOME,22-11-2025,1
SKU402_HOME,23-11-2025,7
SKU402_HOME,24-11-2025,7
SKU402_HOME,25-11-2025,5
SKU402_HOME,26-11-2025,2
SKU402_HOME,27-11-2025,6
SKU402_HOME,28-11-2025,2
SKU402_HOME,29-11-2025,6
