campaign_id,sku_id,date,spend,impressions,clicks,conversions,cpc,ctr,conv_rate
CAM_21007,SKU_SHOES_9083792720088,2025-12-04,405.44,1969,64,1,6.33,3.25,1.56
CAM_21007,SKU_SHOES_9083792720088,2025-12-03,520.08,2526,82,2,6.34,3.25,2.44
CAM_21007,SKU_SHOES_9083792720088,2025-12-02,426.25,2070,67,1,6.36,3.24,1.49
CAM_21007,SKU_SHOES_9083792720088,2025-12-01,351.37,1706,55,1,6.39,3.22,1.82
CAM_21007,SKU_SHOES_9083792720088,2025-11-30,486.45,2362,77,2,6.32,3.26,2.6
CAM_21007,SKU_SHOES_9083792720088,2025-11-29,305.04,1481,48,1,6.35,3.24,2.08
CAM_47300,SKU_SHOES_9083792720088,2025-12-28,568.62,1203,71,3,8.01,5.9,4.23
CAM_47300,SKU_SHOES_9083792720088,2025-12-27,667.13,1411,83,4,8.04,5.88,4.82
CAM_47300,SKU_SHOES_9083792720088,2025-12-26,582.72,1232,73,3,7.98,5.93,4.11
CAM_47300,SKU_SHOES_9083792720088,2025-12-25,474.57,1004,59,3,8.04,5.88,5.08
CAM_47300,SKU_SHOES_9083792720088,2025-12-24,410.05,867,51,2,8.04,5.88,3.92
CAM_47300,SKU_SHOES_9083792720088,2025-12-23,375.83,795,47,2,8.0,5.91,4.26
CAM_47300,SKU_SHOES_9083792720088,2025-12-22,575.36,1217,72,3,7.99,5.92,4.17
CAM_47300,SKU_SHOES_9083792720088,2025-12-21,446.09,943,56,3,7.97,5.94,5.36
CAM_47300,SKU_SHOES_9083792720088,2025-12-20,609.05,1288,76,4,8.01,5.9,5.26
CAM_47300,SKU_SHOES_9083792720088,2025-12-19,463.5,980,58,3,7.99,5.92,5.17
CAM_47300,SKU_SHOES_9083792720088,2025-12-18,343.7,727,43,2,7.99,5.91,4.65
CAM_47300,SKU_SHOES_9083792720088,2025-12-17,427.67,904,53,2,8.07,5.86,3.77
CAM_47300,SKU_SHOES_9083792720088,2025-12-16,429.37,908,53,2,8.1,5.84,3.77
CAM_47300,SKU_SHOES_9083792720088,2025-12-15,361.13,764,45,2,8.03,5.89,4.44
CAM_47300,SKU_SHOES_9083792720088,2025-12-14,506.6,1071,63,3,8.04,5.88,4.76
CAM_47300,SKU_SHOES_9083792720088,2025-12-13,463.67,980,58,3,7.99,5.92,5.17
CAM_47300,SKU_SHOES_9083792720088,2025-12-12,388.42,821,48,2,8.09,5.85,4.17
CAM_47300,SKU_SHOES_9083792720088,2025-12-11,351.65,743,44,2,7.99,5.92,4.55
CAM_47300,SKU_SHOES_9083792720088,2025-12-10,416.3,880,52,2,8.01,5.91,3.85
CAM_47300,SKU_SHOES_9083792720088,2025-12-09,421.05,890,52,2,8.1,5.84,3.85
CAM_47300,SKU_SHOES_9083792720088,2025-12-08,385.59,815,48,2,8.03,5.89,4.17
CAM_47300,SKU_SHOES_9083792720088,2025-12-07,609.03,1288,76,4,8.01,5.9,5.26
CAM_47300,SKU_SHOES_9083792720088,2025-12-06,629.9,1332,79,4,7.97,5.93,5.06
CAM_47300,SKU_SHOES_9083792720088,2025-12-05,578.79,1224,72,3,8.04,5.88,4.17
CAM_47300,SKU_SHOES_9083792720088,2025-12-04,538.91,1140,67,3,8.04,5.88,4.48
CAM_47300,SKU_SHOES_9083792720088,2025-12-03,421.57,891,52,2,8.11,5.84,3.85
CAM_47300,SKU_SHOES_9083792720088,2025-12-02,466.37,986,58,3,8.04,5.88,5.17
CAM_47300,SKU_SHOES_9083792720088,2025-12-01,348.6,737,43,2,8.11,5.83,4.65
CAM_47300,SKU_SHOES_9083792720088,2025-11-30,626.41,1325,78,4,8.03,5.89,5.13
CAM_47300,SKU_SHOES_9083792720088,2025-11-29,568.95,1203,71,3,8.01,5.9,4.23
CAM_77389,SKU_SHOES_9083792720088,2025-12-28,368.73,287,28,2,13.17,9.76,7.14
CAM_77389,SKU_SHOES_9083792720088,2025-12-27,378.41,295,28,2,13.51,9.49,7.14
CAM_77389,SKU_SHOES_9083792720088,2025-12-26,417.85,326,31,3,13.48,9.51,9.68
CAM_77389,SKU_SHOES_9083792720088,2025-12-25,325.67,254,24,2,13.57,9.45,8.33
CAM_77389,SKU_SHOES_9083792720088,2025-12-24,321.05,250,24,2,13.38,9.6,8.33
CAM_77389,SKU_SHOES_9083792720088,2025-12-23,334.69,261,25,2,13.39,9.58,8.0
CAM_77389,SKU_SHOES_9083792720088,2025-12-22,259.55,202,19,1,13.66,9.41,5.26
CAM_77389,SKU_SHOES_9083792720088,2025-12-21,486.95,380,37,3,13.16,9.74,8.11
CAM_77389,SKU_SHOES_9083792720088,2025-12-20,348.25,271,26,2,13.39,9.59,7.69
CAM_77389,SKU_SHOES_9083792720088,2025-12-19,249.57,194,19,1,13.14,9.79,5.26
CAM_77389,SKU_SHOES_9083792720088,2025-12-18,260.99,203,19,1,13.74,9.36,5.26
CAM_77389,SKU_SHOES_9083792720088,2025-12-17,277.37,216,21,2,13.21,9.72,9.52
CAM_77389,SKU_SHOES_9083792720088,2025-12-16,301.99,235,23,2,13.13,9.79,8.7
CAM_77389,SKU_SHOES_9083792720088,2025-12-15,346.34,270,26,2,13.32,9.63,7.69
CAM_77389,SKU_SHOES_9083792720088,2025-12-14,310.43,242,23,2,13.5,9.5,8.7
CAM_77389,SKU_SHOES_9083792720088,2025-12-13,382.11,298,29,2,13.18,9.73,6.9
CAM_77389,SKU_SHOES_9083792720088,2025-12-12,371.51,289,28,2,13.27,9.69,7.14
CAM_77389,SKU_SHOES_9083792720088,2025-12-11,338.99,264,25,2,13.56,9.47,8.0
CAM_77389,SKU_SHOES_9083792720088,2025-12-10,384.88,300,29,2,13.27,9.67,6.9
CAM_77389,SKU_SHOES_9083792720088,2025-12-09,291.08,227,22,2,13.23,9.69,9.09
CAM_77389,SKU_SHOES_9083792720088,2025-12-08,312.5,243,23,2,13.59,9.47,8.7
CAM_77389,SKU_SHOES_9083792720088,2025-12-07,439.33,342,33,3,13.31,9.65,9.09
CAM_77389,SKU_SHOES_9083792720088,2025-12-06,273.13,213,20,2,13.66,9.39,10.0
CAM_77389,SKU_SHOES_9083792720088,2025-12-05,403.05,314,30,2,13.44,9.55,6.67
CAM_77389,SKU_SHOES_9083792720088,2025-12-04,345.07,269,26,2,13.27,9.67,7.69
CAM_77389,SKU_SHOES_9083792720088,2025-12-03,438.99,342,33,3,13.3,9.65,9.09
CAM_77389,SKU_SHOES_9083792720088,2025-12-02,328.37,256,25,2,13.13,9.77,8.0
CAM_77389,SKU_SHOES_9083792720088,2025-12-01,336.46,262,25,2,13.46,9.54,8.0
CAM_77389,SKU_SHOES_9083792720088,2025-11-30,389.83,304,29,2,13.44,9.54,6.9
CAM_77389,SKU_SHOES_9083792720088,2025-11-29,303.9,237,23,2,13.21,9.7,8.7
CAM_89218,SKU_SHOES_9083792785624,2025-12-28,224.52,372,17,1,13.21,4.57,5.88
CAM_89218,SKU_SHOES_9083792785624,2025-12-27,366.41,607,28,1,13.09,4.61,3.57
CAM_89218,SKU_SHOES_9083792785624,2025-12-26,256.55,425,20,1,12.83,4.71,5.0
CAM_89218,SKU_SHOES_9083792785624,2025-12-25,339.37,563,26,1,13.05,4.62,3.85
CAM_89218,SKU_SHOES_9083792785624,2025-12-24,300.04,497,23,1,13.05,4.63,4.35
CAM_89218,SKU_SHOES_9083792785624,2025-12-23,291.36,483,22,1,13.24,4.55,4.55
CAM_89218,SKU_SHOES_9083792785624,2025-12-22,227.0,376,17,1,13.35,4.52,5.88
CAM_89218,SKU_SHOES_9083792785624,2025-12-21,357.55,593,27,1,13.24,4.55,3.7
CAM_89218,SKU_SHOES_9083792785624,2025-12-20,389.53,646,30,1,12.98,4.64,3.33
CAM_89218,SKU_SHOES_9083792785624,2025-12-19,347.61,576,27,1,12.87,4.69,3.7
CAM_89218,SKU_SHOES_9083792785624,2025-12-18,264.58,438,20,1,13.23,4.57,5.0
CAM_89218,SKU_SHOES_9083792785624,2025-12-17,307.55,510,23,1,13.37,4.51,4.35
CAM_89218,SKU_SHOES_9083792785624,2025-12-16,313.97,520,24,1,13.08,4.62,4.17
CAM_89218,SKU_SHOES_9083792785624,2025-12-15,338.22,561,26,1,13.01,4.63,3.85
CAM_89218,SKU_SHOES_9083792785624,2025-12-14,228.51,379,17,1,13.44,4.49,5.88
CAM_89218,SKU_SHOES_9083792785624,2025-12-13,261.53,433,20,1,13.08,4.62,5.0
CAM_89218,SKU_SHOES_9083792785624,2025-12-12,219.05,363,17,1,12.89,4.68,5.88
CAM_89218,SKU_SHOES_9083792785624,2025-12-11,318.97,529,24,1,13.29,4.54,4.17
CAM_89218,SKU_SHOES_9083792785624,2025-12-10,351.41,583,27,1,13.02,4.63,3.7
CAM_89218,SKU_SHOES_9083792785624,2025-12-09,236.33,392,18,1,13.13,4.59,5.56
CAM_89218,SKU_SHOES_9083792785624,2025-12-08,352.59,584,27,1,13.06,4.62,3.7
CAM_89218,SKU_SHOES_9083792785624,2025-12-07,401.52,666,31,1,12.95,4.65,3.23
CAM_89218,SKU_SHOES_9083792785624,2025-12-06,339.8,563,26,1,13.07,4.62,3.85
CAM_89218,SKU_SHOES_9083792785624,2025-12-05,334.45,554,26,1,12.86,4.69,3.85
CAM_89218,SKU_SHOES_9083792785624,2025-12-04,328.18,544,25,1,13.13,4.6,4.0
CAM_89218,SKU_SHOES_9083792785624,2025-12-03,279.88,464,21,1,13.33,4.53,4.76
CAM_89218,SKU_SHOES_9083792785624,2025-12-02,266.55,442,20,1,13.33,4.52,5.0
CAM_89218,SKU_SHOES_9083792785624,2025-12-01,278.05,461,21,1,13.24,4.56,4.76
CAM_89218,SKU_SHOES_9083792785624,2025-11-30,318.41,528,24,1,13.27,4.55,4.17
CAM_89218,SKU_SHOES_9083792785624,2025-11-29,279.99,464,21,1,13.33,4.53,4.76
CAM_98310,SKU_SHOES_9083792654552,2025-12-28,289.93,675,21,2,13.81,3.11,9.52
CAM_98310,SKU_SHOES_9083792654552,2025-12-27,159.24,370,11,1,14.48,2.97,9.09
CAM_98310,SKU_SHOES_9083792654552,2025-12-26,220.21,512,16,1,13.76,3.12,6.25
CAM_98310,SKU_SHOES_9083792654552,2025-12-25,202.0,470,15,1,13.47,3.19,6.67
CAM_98310,SKU_SHOES_9083792654552,2025-12-24,200.89,467,14,1,14.35,3.0,7.14
CAM_98310,SKU_SHOES_9083792654552,2025-12-23,154.19,359,11,1,14.02,3.06,9.09
CAM_98310,SKU_SHOES_9083792654552,2025-12-22,216.44,504,16,1,13.53,3.17,6.25
CAM_98310,SKU_SHOES_9083792654552,2025-12-21,284.99,663,21,2,13.57,3.17,9.52
CAM_98310,SKU_SHOES_9083792654552,2025-12-20,242.67,565,18,1,13.48,3.19,5.56
CAM_98310,SKU_SHOES_9083792654552,2025-12-19,160.94,374,11,1,14.63,2.94,9.09
CAM_98310,SKU_SHOES_9083792654552,2025-12-18,181.87,423,13,1,13.99,3.07,7.69
CAM_98310,SKU_SHOES_9083792654552,2025-12-17,262.13,610,19,1,13.8,3.11,5.26
CAM_98310,SKU_SHOES_9083792654552,2025-12-16,229.12,533,17,1,13.48,3.19,5.88
CAM_98310,SKU_SHOES_9083792654552,2025-12-15,246.77,574,18,1,13.71,3.14,5.56
CAM_98310,SKU_SHOES_9083792654552,2025-12-14,264.62,616,19,1,13.93,3.08,5.26
CAM_98310,SKU_SHOES_9083792654552,2025-12-13,289.93,675,21,2,13.81,3.11,9.52
CAM_98310,SKU_SHOES_9083792654552,2025-12-12,194.35,452,14,1,13.88,3.1,7.14
CAM_98310,SKU_SHOES_9083792654552,2025-12-11,264.38,615,19,1,13.91,3.09,5.26
CAM_98310,SKU_SHOES_9083792654552,2025-12-10,223.97,521,16,1,14.0,3.07,6.25
CAM_98310,SKU_SHOES_9083792654552,2025-12-09,248.1,577,18,1,13.78,3.12,5.56
CAM_98310,SKU_SHOES_9083792654552,2025-12-08,207.83,483,15,1,13.86,3.11,6.67
CAM_98310,SKU_SHOES_9083792654552,2025-12-07,290.74,677,21,2,13.84,3.1,9.52
CAM_98310,SKU_SHOES_9083792654552,2025-12-06,183.67,427,13,1,14.13,3.04,7.69
CAM_98310,SKU_SHOES_9083792654552,2025-12-05,209.14,487,15,1,13.94,3.08,6.67
CAM_98310,SKU_SHOES_9083792654552,2025-12-04,265.73,618,19,1,13.99,3.07,5.26
CAM_98310,SKU_SHOES_9083792654552,2025-12-03,208.82,486,15,1,13.92,3.09,6.67
CAM_98310,SKU_SHOES_9083792654552,2025-12-02,210.03,489,15,1,14.0,3.07,6.67
CAM_98310,SKU_SHOES_9083792654552,2025-12-01,270.58,630,20,2,13.53,3.17,10.0
CAM_98310,SKU_SHOES_9083792654552,2025-11-30,263.4,613,19,1,13.86,3.1,5.26
CAM_98310,SKU_SHOES_9083792654552,2025-11-29,219.53,511,16,1,13.72,3.13,6.25
CAM_35770,SKU_SHOES_9083792654552,2025-12-28,224.35,1034,49,1,4.58,4.74,2.04
CAM_35770,SKU_SHOES_9083792654552,2025-12-27,316.04,1457,70,1,4.51,4.8,1.43
CAM_35770,SKU_SHOES_9083792654552,2025-12-26,308.82,1424,68,1,4.54,4.78,1.47
CAM_35770,SKU_SHOES_9083792654552,2025-12-25,200.22,923,44,0,4.55,4.77,0.0
CAM_35770,SKU_SHOES_9083792654552,2025-12-24,290.94,1342,64,1,4.55,4.77,1.56
CAM_35770,SKU_SHOES_9083792654552,2025-12-23,226.17,1043,50,1,4.52,4.79,2.0
CAM_35770,SKU_SHOES_9083792654552,2025-12-22,221.79,1023,49,1,4.53,4.79,2.04
CAM_35770,SKU_SHOES_9083792654552,2025-12-21,316.95,1462,70,1,4.53,4.79,1.43
CAM_35770,SKU_SHOES_9083792654552,2025-12-20,221.46,1021,49,1,4.52,4.8,2.04
CAM_35770,SKU_SHOES_9083792654552,2025-12-19,303.54,1400,67,1,4.53,4.79,1.49
CAM_35770,SKU_SHOES_9083792654552,2025-12-18,207.79,958,46,0,4.52,4.8,0.0
CAM_35770,SKU_SHOES_9083792654552,2025-12-17,333.94,1540,74,1,4.51,4.81,1.35
CAM_35770,SKU_SHOES_9083792654552,2025-12-16,234.83,1083,52,1,4.52,4.8,1.92
CAM_35770,SKU_SHOES_9083792654552,2025-12-15,197.01,908,43,0,4.58,4.74,0.0
CAM_35770,SKU_SHOES_9083792654552,2025-12-14,247.8,1143,55,1,4.51,4.81,1.82
CAM_35770,SKU_SHOES_9083792654552,2025-12-13,320.41,1478,71,1,4.51,4.8,1.41
CAM_35770,SKU_SHOES_9083792654552,2025-12-12,232.98,1074,51,1,4.57,4.75,1.96
CAM_35770,SKU_SHOES_9083792654552,2025-12-11,300.88,1388,66,1,4.56,4.76,1.52
CAM_35770,SKU_SHOES_9083792654552,2025-12-10,220.79,1018,49,1,4.51,4.81,2.04
CAM_35770,SKU_SHOES_9083792654552,2025-12-09,316.68,1460,70,1,4.52,4.79,1.43
CAM_35770,SKU_SHOES_9083792654552,2025-12-08,225.51,1040,50,1,4.51,4.81,2.0
CAM_35770,SKU_SHOES_9083792654552,2025-12-07,262.66,1211,58,1,4.53,4.79,1.72
CAM_35770,SKU_SHOES_9083792654552,2025-12-06,319.78,1475,70,1,4.57,4.75,1.43
CAM_35770,SKU_SHOES_9083792654552,2025-12-05,240.46,1109,53,1,4.54,4.78,1.89
CAM_35770,SKU_SHOES_9083792654552,2025-12-04,322.44,1487,71,1,4.54,4.77,1.41
CAM_35770,SKU_SHOES_9083792654552,2025-12-03,224.56,1035,49,1,4.58,4.73,2.04
CAM_35770,SKU_SHOES_9083792654552,2025-12-02,305.0,1407,67,1,4.55,4.76,1.49
CAM_35770,SKU_SHOES_9083792654552,2025-12-01,197.1,909,43,0,4.58,4.73,0.0
CAM_35770,SKU_SHOES_9083792654552,2025-11-30,330.67,1525,73,1,4.53,4.79,1.37
CAM_35770,SKU_SHOES_9083792654552,2025-11-29,261.82,1207,58,1,4.51,4.81,1.72
CAM_54473,SKU_SHOES_9083792687320,2025-12-28,617.87,381,37,2,16.7,9.71,5.41
CAM_54473,SKU_SHOES_9083792687320,2025-12-27,563.45,347,34,2,16.57,9.8,5.88
CAM_54473,SKU_SHOES_9083792687320,2025-12-26,434.36,268,26,1,16.71,9.7,3.85
CAM_54473,SKU_SHOES_9083792687320,2025-12-25,527.2,325,32,2,16.48,9.85,6.25
CAM_54473,SKU_SHOES_9083792687320,2025-12-24,722.65,446,44,3,16.42,9.87,6.82
CAM_54473,SKU_SHOES_9083792687320,2025-12-23,521.24,321,32,2,16.29,9.97,6.25
CAM_54473,SKU_SHOES_9083792687320,2025-12-22,771.72,476,47,3,16.42,9.87,6.38
CAM_54473,SKU_SHOES_9083792687320,2025-12-21,515.64,318,31,2,16.63,9.75,6.45
CAM_54473,SKU_SHOES_9083792687320,2025-12-20,565.54,349,34,2,16.63,9.74,5.88
CAM_54473,SKU_SHOES_9083792687320,2025-12-19,614.62,379,37,2,16.61,9.76,5.41
CAM_54473,SKU_SHOES_9083792687320,2025-12-18,665.53,411,40,2,16.64,9.73,5.0
CAM_54473,SKU_SHOES_9083792687320,2025-12-17,743.25,459,45,3,16.52,9.8,6.67
CAM_54473,SKU_SHOES_9083792687320,2025-12-16,441.51,272,27,1,16.35,9.93,3.7
CAM_54473,SKU_SHOES_9083792687320,2025-12-15,547.29,337,33,2,16.58,9.79,6.06
CAM_54473,SKU_SHOES_9083792687320,2025-12-14,767.29,473,47,3,16.33,9.94,6.38
CAM_54473,SKU_SHOES_9083792687320,2025-12-13,536.46,331,32,2,16.76,9.67,6.25
CAM_54473,SKU_SHOES_9083792687320,2025-12-12,751.79,464,46,3,16.34,9.91,6.52
CAM_54473,SKU_SHOES_9083792687320,2025-12-11,580.07,358,35,2,16.57,9.78,5.71
CAM_54473,SKU_SHOES_9083792687320,2025-12-10,778.66,480,47,3,16.57,9.79,6.38
CAM_54473,SKU_SHOES_9083792687320,2025-12-09,577.21,356,35,2,16.49,9.83,5.71
CAM_54473,SKU_SHOES_9083792687320,2025-12-08,537.81,332,33,2,16.3,9.94,6.06
CAM_54473,SKU_SHOES_9083792687320,2025-12-07,699.39,431,42,3,16.65,9.74,7.14
CAM_54473,SKU_SHOES_9083792687320,2025-12-06,795.63,491,48,3,16.58,9.78,6.25
CAM_54473,SKU_SHOES_9083792687320,2025-12-05,538.71,332,33,2,16.32,9.94,6.06
CAM_54473,SKU_SHOES_9083792687320,2025-12-04,633.69,391,38,2,16.68,9.72,5.26
CAM_54473,SKU_SHOES_9083792687320,2025-12-03,658.46,406,40,2,16.46,9.85,5.0
CAM_54473,SKU_SHOES_9083792687320,2025-12-02,542.35,334,33,2,16.43,9.88,6.06
CAM_54473,SKU_SHOES_9083792687320,2025-12-01,621.5,383,38,2,16.36,9.92,5.26
CAM_54473,SKU_SHOES_9083792687320,2025-11-30,544.08,336,33,2,16.49,9.82,6.06
CAM_54473,SKU_SHOES_9083792687320,2025-11-29,490.25,302,30,2,16.34,9.93,6.67
CAM_43380,SKU_SHOES_9083792687320,2025-12-28,1368.17,3175,204,5,6.71,6.43,2.45
CAM_43380,SKU_SHOES_9083792687320,2025-12-27,1112.74,2582,166,4,6.7,6.43,2.41
CAM_43380,SKU_SHOES_9083792687320,2025-12-26,897.95,2084,134,3,6.7,6.43,2.24
CAM_43380,SKU_SHOES_9083792687320,2025-12-25,1079.93,2506,161,4,6.71,6.42,2.48
CAM_43380,SKU_SHOES_9083792687320,2025-12-24,1084.73,2517,162,4,6.7,6.44,2.47
CAM_43380,SKU_SHOES_9083792687320,2025-12-23,1054.07,2446,157,4,6.71,6.42,2.55
CAM_43380,SKU_SHOES_9083792687320,2025-12-22,1464.89,3400,219,6,6.69,6.44,2.74
CAM_43380,SKU_SHOES_9083792687320,2025-12-21,1655.66,3843,247,7,6.7,6.43,2.83
CAM_43380,SKU_SHOES_9083792687320,2025-12-20,1004.71,2332,150,4,6.7,6.43,2.67
CAM_43380,SKU_SHOES_9083792687320,2025-12-19,1026.29,2382,153,4,6.71,6.42,2.61
CAM_43380,SKU_SHOES_9083792687320,2025-12-18,1541.41,3577,230,6,6.7,6.43,2.61
CAM_43380,SKU_SHOES_9083792687320,2025-12-17,1402.23,3254,209,6,6.71,6.42,2.87
CAM_43380,SKU_SHOES_9083792687320,2025-12-16,1024.99,2379,153,4,6.7,6.43,2.61
CAM_43380,SKU_SHOES_9083792687320,2025-12-15,1301.85,3021,194,5,6.71,6.42,2.58
CAM_43380,SKU_SHOES_9083792687320,2025-12-14,1387.94,3221,207,6,6.71,6.43,2.9
CAM_43380,SKU_SHOES_9083792687320,2025-12-13,1272.82,2954,190,5,6.7,6.43,2.63
CAM_43380,SKU_SHOES_9083792687320,2025-12-12,1094.43,2540,163,4,6.71,6.42,2.45
CAM_43380,SKU_SHOES_9083792687320,2025-12-11,1590.48,3691,237,6,6.71,6.42,2.53
CAM_43380,SKU_SHOES_9083792687320,2025-12-10,903.72,2097,135,3,6.69,6.44,2.22
CAM_43380,SKU_SHOES_9083792687320,2025-12-09,1390.65,3227,208,6,6.69,6.45,2.88
CAM_43380,SKU_SHOES_9083792687320,2025-12-08,1153.66,2677,172,5,6.71,6.43,2.91
CAM_43380,SKU_SHOES_9083792687320,2025-12-07,1042.97,2420,156,4,6.69,6.45,2.56
CAM_43380,SKU_SHOES_9083792687320,2025-12-06,1469.57,3411,219,6,6.71,6.42,2.74
CAM_43380,SKU_SHOES_9083792687320,2025-12-05,1141.0,2648,170,4,6.71,6.42,2.35
CAM_43380,SKU_SHOES_9083792687320,2025-12-04,993.49,2306,148,4,6.71,6.42,2.7
CAM_43380,SKU_SHOES_9083792687320,2025-12-03,905.57,2101,135,3,6.71,6.43,2.22
CAM_43380,SKU_SHOES_9083792687320,2025-12-02,971.31,2254,145,4,6.7,6.43,2.76
CAM_43380,SKU_SHOES_9083792687320,2025-12-01,1269.32,2946,189,5,6.72,6.42,2.65
CAM_43380,SKU_SHOES_9083792687320,2025-11-30,1315.01,3052,196,5,6.71,6.42,2.55
CAM_43380,SKU_SHOES_9083792687320,2025-11-29,1086.25,2521,162,4,6.71,6.43,2.47
CAM_37527,SKU_SHOES_9083792752856,2025-12-28,1379.25,2471,117,2,11.79,4.73,1.71
CAM_37527,SKU_SHOES_9083792752856,2025-12-27,1104.34,1978,94,2,11.75,4.75,2.13
CAM_37527,SKU_SHOES_9083792752856,2025-12-26,1152.38,2065,98,2,11.76,4.75,2.04
CAM_37527,SKU_SHOES_9083792752856,2025-12-25,1305.97,2340,111,2,11.77,4.74,1.8
CAM_37527,SKU_SHOES_9083792752856,2025-12-24,1573.89,2820,134,2,11.75,4.75,1.49
CAM_37527,SKU_SHOES_9083792752856,2025-12-23,1537.72,2755,131,2,11.74,4.75,1.53
CAM_37527,SKU_SHOES_9083792752856,2025-12-22,1191.87,2135,101,2,11.8,4.73,1.98
CAM_37527,SKU_SHOES_9083792752856,2025-12-21,1379.57,2472,117,2,11.79,4.73,1.71
CAM_37527,SKU_SHOES_9083792752856,2025-12-20,1292.49,2316,110,2,11.75,4.75,1.82
CAM_37527,SKU_SHOES_9083792752856,2025-12-19,1552.62,2782,132,2,11.76,4.74,1.52
CAM_37527,SKU_SHOES_9083792752856,2025-12-18,1362.86,2442,116,2,11.75,4.75,1.72
CAM_37527,SKU_SHOES_9083792752856,2025-12-17,1413.34,2532,120,2,11.78,4.74,1.67
CAM_37527,SKU_SHOES_9083792752856,2025-12-16,1372.28,2459,116,2,11.83,4.72,1.72
CAM_37527,SKU_SHOES_9083792752856,2025-12-15,1255.09,2249,106,2,11.84,4.71,1.89
CAM_37527,SKU_SHOES_9083792752856,2025-12-14,1346.94,2413,114,2,11.82,4.72,1.75
CAM_37527,SKU_SHOES_9083792752856,2025-12-13,1451.33,2600,123,2,11.8,4.73,1.63
CAM_37527,SKU_SHOES_9083792752856,2025-12-12,1533.77,2748,130,2,11.8,4.73,1.54
CAM_37527,SKU_SHOES_9083792752856,2025-12-11,969.49,1737,82,1,11.82,4.72,1.22
CAM_37527,SKU_SHOES_9083792752856,2025-12-10,1359.14,2435,115,2,11.82,4.72,1.74
CAM_37527,SKU_SHOES_9083792752856,2025-12-09,1291.02,2313,109,2,11.84,4.71,1.83
CAM_37527,SKU_SHOES_9083792752856,2025-12-08,1484.96,2660,126,2,11.79,4.74,1.59
CAM_37527,SKU_SHOES_9083792752856,2025-12-07,904.54,1620,77,1,11.75,4.75,1.3
CAM_37527,SKU_SHOES_9083792752856,2025-12-06,1214.59,2176,103,2,11.79,4.73,1.94
CAM_37527,SKU_SHOES_9083792752856,2025-12-05,1262.83,2262,107,2,11.8,4.73,1.87
CAM_37527,SKU_SHOES_9083792752856,2025-12-04,981.67,1759,83,1,11.83,4.72,1.2
CAM_37527,SKU_SHOES_9083792752856,2025-12-03,1007.33,1805,85,1,11.85,4.71,1.18
CAM_37527,SKU_SHOES_9083792752856,2025-12-02,1326.9,2377,113,2,11.74,4.75,1.77
CAM_37527,SKU_SHOES_9083792752856,2025-12-01,1338.2,2397,114,2,11.74,4.76,1.75
CAM_37527,SKU_SHOES_9083792752856,2025-11-30,1774.36,3179,151,3,11.75,4.75,1.99
